date,open,high,low,close,volume,symbol,section,sentence,agent_prob_pos,agent_prob_neg,agent_prob_neu,sentiment_intensity,reasoning,bert_pred_label,bert_prob_neu,bert_prob_pos,bert_prob_neg,bert_sentiment,agent_sentiment,sentiment,sentiment_divergence,avg_sentiment,std_sentiment,avg_pos,avg_neg,max_pos,max_neg,news_count,net_sentiment,direction,return
2019-11-01 13:30:00,63.3625,63.4575,63.325,63.4125,5307676,AAPL,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0769367343315341
2019-11-01 14:00:00,63.41,63.45375,63.3275,63.4525,4218308,AAPL,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0630790459294372
2019-11-01 14:30:00,63.454,63.595,63.4425,63.585,6934672,AAPL,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.2088176194791291
2019-11-01 15:00:00,63.58487,63.705,63.5325,63.65,9065000,AAPL,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.1022253676181472
2019-11-01 15:30:00,63.65,63.9825,63.6425,63.9625,21083428,AAPL,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.4909662215239585
2019-11-04 09:30:00,64.4,64.4475,63.845,64.1175,28812848,AAPL,Politics,"Trump is the 'least worst option' for China, says professor. U.S. President Donald Trump is fighting an ""all front"" trade war and that may not be a bad thing for China, says one professor. Washington is locking itself into trade disputes with multiple countries, weakening historical ties and preventing those nations from aligning against China, she says. The trade war is also pushing China toward self-sufficiency and technological independence, which is ""not inconsistent"" with the country's long-term goals.",0.0,0.85,0.15,0.85,這條新聞透露 Apple 的 19.6% 銷售額取決於中國，因此貿易戰風險對 Apple 有重大影響,2.0,0.1748021088195067,0.1390735583323213,0.6861243328481718,-0.5470507745158505,-0.85,-0.6682304647095103,0.3029492254841495,-0.6304514297906665,0.0836671479041423,0.1469400292739644,0.631025745591742,0.168939239665307,0.7137519273151459,3.0,-0.4840857163177775,利空 (Bearish),0.2423294899355221
2019-11-04 09:30:00,64.4,64.4475,63.845,64.1175,28812848,AAPL,Evolve,"Trade wars, climate change plunge the family farm into crisis. Is it an endangered American institution?. Farm bankruptcies through September surged 24% versus the prior year, to 580, amid a perfect storm created by Donald Trump's trade war with China and Europe, slumping commodity prices, and a year of unfavorable weather. The report showed bankruptcy filings at their highest in the state of Wisconsin with 48 filings, followed by 37 filings in Georgia, Nebraska, and Kansas. The spillover effect: suicide rates among farmers rise and many rural towns dependent on agriculture become ghost towns. President Trump has already earmarked $28 billion in financial assistance for farmers whose sales to China have been crippled or blocked.",0.0,0.85,0.15,0.85,這條新聞透露 Apple 的 19.6% 銷售額取決於中國，因此貿易戰風險對 Apple 有重大影響,2.0,0.153440782860589,0.1328072898242651,0.7137519273151459,-0.5809446374908809,-0.85,-0.6885667824945285,0.2690553625091191,-0.6304514297906665,0.0836671479041423,0.1469400292739644,0.631025745591742,0.168939239665307,0.7137519273151459,3.0,-0.4840857163177775,利空 (Bearish),0.0
2019-11-04 09:30:00,64.4,64.4475,63.845,64.1175,28812848,AAPL,Markets,"The outcome of the US, China trade negotiations will make or break these stocks into year-end. Wall Street now believes President Donald Trump's trade battle with China will determine how the markets close out the year. Chipmakers including Qualcomm, Micron Technology and Qorvo are among the top 25 S&P 500 companies with the highest revenue exposure to China, according to Refinitiv. Apple also made the list with a 19.6% sales exposure to China. Tech is the most vulnerable to a breakdown in the trade war as the median China revenue exposure is nearly 10%, the highest among the 11 S&P 500 sectors.",0.0,0.85,0.15,0.85,這條新聞透露 Apple 的 19.6% 銷售額取決於中國，因此貿易戰風險對 Apple 有重大影響,2.0,0.3378597837227849,0.168939239665307,0.4932009766119081,-0.3242617369466011,-0.85,-0.5345570421679606,0.5257382630533989,-0.6304514297906665,0.0836671479041423,0.1469400292739644,0.631025745591742,0.168939239665307,0.7137519273151459,3.0,-0.4840857163177775,利空 (Bearish),0.0
2019-11-04 10:00:00,64.11505,64.3621,64.08,64.305,9735168,AAPL,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.2924318633758416
2019-11-04 12:30:00,63.9025,64.095,63.855,64.09115,3403504,AAPL,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,-0.3325557888189223
